Image_ID,Label (Genus),Resolution,Image_Format,File_Size (KB)
criconema (1).jpg,Genus Criconema,1280x1024,JPEG,387.53
criconema (2).jpg,Genus Criconema,1280x1024,JPEG,391.3
criconema (3).jpg,Genus Criconema,1280x1024,JPEG,260.7
criconema (4).jpg,Genus Criconema,1280x1024,JPEG,417.61
Criconemoides (1).jpg,Genus Criconemoides,1280x1024,JPEG,518.05
Criconemoides (2).jpg,Genus Criconemoides,1280x1024,JPEG,603.67
Criconemoides (3).jpg,Genus Criconemoides,1280x1024,JPEG,519.44
Criconemoides (4).jpg,Genus Criconemoides,1280x1024,JPEG,491.32
Criconemoides (5).jpg,Genus Criconemoides,1280x1024,JPEG,463.58
Criconemoides (6).jpg,Genus Criconemoides,1280x1024,JPEG,531.85
Criconemoides (7).jpg,Genus Criconemoides,1280x1024,JPEG,414.79
Criconemoides (8).jpg,Genus Criconemoides,1280x1024,JPEG,391.61
Criconemoides (9).jpg,Genus Criconemoides,1280x1024,JPEG,380.68
Criconemoides (10).jpg,Genus Criconemoides,1280x1024,JPEG,454.93
Criconemoides (11).jpg,Genus Criconemoides,1280x1024,JPEG,416.71
Criconemoides (12).jpg,Genus Criconemoides,1280x1024,JPEG,444.39
Criconemoides (13).jpg,Genus Criconemoides,1280x1024,JPEG,460.84
Criconemoides (14).jpg,Genus Criconemoides,1280x1024,JPEG,424.71
Criconemoides (15).jpg,Genus Criconemoides,1280x1024,JPEG,370.56
Criconemoides (16).jpg,Genus Criconemoides,1280x1024,JPEG,398.98
Criconemoides (17).jpg,Genus Criconemoides,1280x1024,JPEG,419.62
Criconemoides (18).jpg,Genus Criconemoides,1280x1024,JPEG,426.93
Criconemoides (19).jpg,Genus Criconemoides,1280x1024,JPEG,392.63
Criconemoides (20).jpg,Genus Criconemoides,1280x1024,JPEG,370.27
Criconemoides (21).jpg,Genus Criconemoides,1280x1024,JPEG,448.81
Criconemoides (22).jpg,Genus Criconemoides,1280x1024,JPEG,448.08
Criconemoides (23).jpg,Genus Criconemoides,1280x1024,JPEG,416.37
Criconemoides (24).jpg,Genus Criconemoides,1280x1024,JPEG,386.2
Criconemoides (25).jpg,Genus Criconemoides,1280x1024,JPEG,424.11
Criconemoides (26).jpg,Genus Criconemoides,1280x1024,JPEG,442.86
